SampleID,SequenceArchiveAccession,Longitude,Latitude,Elevation,Date,Month,Day,Year,JulianDayNumber,MeanAnnualPrecip,MeanAnnualTemp,CDI,OrganicC,TotalN,SoilCN,PH,Sand,Silt,Clay,TexturalClass,SiltPlusClay,BulkDensity,H2OContentFieldMoisture,TotalCMineralized,CMineralized50d,CMineralized228d,BacterialFungalRatio,SIRBiomass,PcoA1,PcoA1Metagen,ShannonMetagen,FructoseMannoseRelAbund,CellDivisionRelAbund,NitrogenRelAbund,PeroxisomeRelAbund,PentosePhosphateRelAbund,LFructoseMannoseRelAbund,LCellDivisionRelAbund,LNitrogenRelAbund,LPeroxisomeRelAbund,LPentosePhosphateRelAbund,frsMomeanCRURaster,preMomeanCRURaster,tmpMomeanCRURaster,wetMomeanCRURaster,OriginalNumberOfReads,NumberOfReads,NumberOfRarefactions,NumberOfUnclassifiedReads,ShannonDiversity,Richness,ChaoRichness,LogRichness,LogShannonDiversity,LogitRelAbundance
NTP22,Osmundson MN,-93.657,43.51,0.05,2012/07/15,7,15,2012,2456124,842,6.7,0.594,4.178,0.334,12.528,6.29,61.73,30.34,7.93,Sandy Loam,38.27,0.83,0.29549158066268,2702.00402328885,875.034372917324,1826.96965037152,201.862354066267,20.4808012852399,3.6139,-0.0198708665588,18.07726826472,0.01011462508773,0.00039693794574,0.01788801189063,0.00074630616593,0.01483457403554,-4.48252562183991,-6.52733130127136,-3.94672043643941,-6.3125415480489,-4.12551042418772,9.999999310821295E-4,171.4499969482422,21.600000381469727,11.431999206542969,940.0,940,1,782.0,1.1545949936812026,87.0,159.9,1.9444826721501687,0.09850355020198,-1.5916709476194544
NTP23,Makoce Washte SD,-96.97,43.553,0.05,2012/07/15,7,15,2012,2456124,627,7.3,0.505,5.085,0.421,12.069,7.08,42.84,41.03,16.13,Loam,57.16,0.905,0.25752051048314,1429.74043965198,476.353698362224,953.386741289755,151.406024346594,11.4789052161822,30.112,-0.113013830369,18.11277070364,0.01014741570507,0.00038812253609,0.01879422808302,0.00067612865828,0.01427824637187,-4.47956337738926,-6.53339319086715,-3.89908753727366,-6.35215257399913,-4.16169516579693,9.999999310821295E-4,88.72999572753906,21.75,9.946998596191406,940.0,940,1,657.0,1.8398315891365413,103.0,204.53125,2.0170333392987803,0.28776402730986317,-0.8371865507828831
NTP24,Iron Horse MN,-92.85,43.87,0.05,2012/07/15,7,15,2012,2456124,812,6.2,0.57,7.057,0.487,14.482,7.05,46.38,44.57,9.05,Loam,53.62,0.905,0.54841334418226,2761.13944414338,913.458087351437,1847.68135679194,116.160620345728,28.4223740773207,-20.278,0.0863421830799,17.86375112542,0.0105646809226,0.00035576697677,0.01735000367014,0.00078523276987,0.01477143303648,-4.44259872595636,-6.55596181135813,-3.97606760005646,-6.29122572002788,-4.12955402137103,9.999999310821295E-4,132.41000366210938,21.130001068115234,11.316999435424805,940.0,940,1,809.0,0.981615530779371,78.0,150.0,1.8976270912904414,0.03407291462137311,-1.8117601359347244
NTP25,Sioux Prairie SD,-96.78,44.035,0.05,2012/07/15,7,15,2012,2456124,639,6.4,0.482,4.703,0.396,11.876,6.35,38.74,43.26,18,Loam,61.26,1.015,0.37062937062937,2401.35834915919,717.538430218375,1683.81991894081,157.549504043829,20.9627708718825,-2.71,0.0302604855818,18.03663245504,0.01012811913788,0.00036853979333,0.01735903128733,0.00071795018944,0.01514271128119,-4.48130555510268,-6.54699176035328,-3.97556826040477,-6.32835905820119,-4.10600104515939,9.999999310821295E-4,95.33000183105469,21.46000099182129,9.97700023651123,940.0,940,1,707.0,1.6087769296305692,99.0,172.92105263157896,2.0,0.23268537193450234,-1.1042941221355407
NTP26,Prairie Coteau MN,-96.152,44.115,0.05,2012/07/15,7,15,2012,2456124,659,6.4,0.503,4.82,0.409,11.777,7.17,49.1,42.59,8.31,Loam,50.9,0.918,0.29871520342612,2982.21683145029,927.723484069321,2054.49334738097,147.995771572842,25.8273885058276,-7.9037,0.0554652421631,18.02111672504,0.01021522602581,0.00035593580523,0.01712702565961,0.00076187368292,0.0144732972485,-4.47346459419046,-6.55584272230756,-3.98847791581169,-6.30396253102219,-4.14886373339057,9.999999310821295E-4,89.94999694824219,21.020000457763672,10.234000205993652,940.0,940,1,703.0,1.6311093981194977,97.0,155.1315789473684,1.9912260756924949,0.23832451414827602,-1.0816627303543367
NTP27,Aurora SD,-96.707,44.262,0.05,2012/07/15,7,15,2012,2456124,579,6.2,0.475,7.473,0.709,10.539,7.86,26,51.37,22.63,Silt Loam,74,0.783,0.63636363636364,1048.73278253262,328.677736594249,720.055045938371,527.078914172299,14.4361264187934,37.718,-0.237402516161,18.21683831818,0.00923623430916,0.00045872695506,0.01959305505017,0.00066731551559,0.01319186244403,-4.56525168397229,-6.4858405729087,-3.85883338625969,-6.3572394192945,-4.23624071644361,9.999999310821295E-4,95.33000183105469,21.46000099182129,9.97700023651123,940.0,940,1,625.0,2.0242429504410713,103.0,186.33333333333331,2.0170333392987803,0.32720418566836657,-0.6804081547825156
NTP28,Glynn Prairie MN,-95.697,44.265,0.05,2012/07/15,7,15,2012,2456124,675,6.8,0.521,5.431,0.478,11.355,6.54,40.62,37.38,22.01,Loam,59.38,0.891,0.49216087252897,2435.29772771655,661.737381420993,1773.56034629556,162.460007417106,24.9467063424902,-30.211,0.102825435496,17.8280883525,0.01071437852213,0.00031586672485,0.01699855821401,0.00078451437619,0.01525076233649,-4.42965608739479,-6.58451107360703,-3.99569600953651,-6.29161503302276,-4.09924620883769,9.999999310821295E-4,95.05999755859375,21.200000762939453,10.532999038696289,940.0,940,1,849.0,0.6600673855409371,45.0,77.0,1.662757831681574,-0.11914790262543899,-2.2210920587428626
NTP29,Crystal Springs SD,-96.57,44.795,0.05,2012/07/15,7,15,2012,2456124,579,6.2,0.48,4.84,0.437,11.066,6.65,58.01,31.58,10.41,Sandy Loam,41.99,0.998,0.25856697819315,3298.62932672503,1110.1209388309,2188.50838789414,78.521231601824,26.4083699356471,-0.51617,-0.00581828809238,18.12073599224,0.01006929190462,0.00037825607437,0.01723542043643,0.00074153551229,0.01479115656498,-4.48663511882524,-6.54022157180885,-3.9824264388278,-6.31518532872844,-4.12828921058514,9.999999310821295E-4,93.91999816894531,21.07000160217285,9.957000732421875,940.0,940,1,728.0,1.5037336731236566,99.0,251.9090909090909,2.0,0.20513224805273023,-1.2276343118240942
NTP3,Pontotoc OK,-96.6,34.51,0.05,2012/07/15,7,15,2012,2456124,1066,16.1,0.881,3.158,0.242,13.026,7.18,50.58,34.24,15.18,Loam,49.42,1.089,0.16773753340536,1377.29468314939,462.927888560313,914.366794589078,51.4325421436374,12.9896420394947,-18.743,0.135693754346,17.81954412536,0.01039076367898,0.00032655432548,0.01613543913759,0.00076837745391,0.01481996133986,-4.45784375070037,-6.57678387833856,-4.04553950597116,-6.3004000084472,-4.12644482523789,0.0,68.37000274658203,28.3700008392334,6.220999717712402,940.0,940,1,796.0,1.0469290482914808,74.0,170.8,1.8750612633917,0.05953655226170116,-1.7016083722337574
NTP32,Miller Prairie MN,-96.317,45.773,0.05,2012/07/15,7,15,2012,2456124,573,7.1,0.45,4.889,0.377,12.978,6.48,52.67,28.89,18.45,Sandy Loam/Loam,47.33,0.975,0.48232848232848,1800.76000182684,557.234326064559,1243.52567576229,277.240201679324,18.1471231798243,-11.359,0.0179662820537,18.03138267112,0.01003174041819,0.00038831174572,0.0178499624243,0.00075328234826,0.01505963485257,-4.49005174571086,-6.53326269592883,-3.94876893059263,-6.30868801174964,-4.11122477497256,0.0,107.5300064086914,20.239999771118164,10.020999908447266,940.0,940,1,752.0,1.2573304920623747,75.0,136.53846153846155,1.8808135922807914,0.13268560551061867,-1.3796586367044923
NTP33,Brown Ranch ND,-97.355,46.398,0.05,2012/07/15,7,15,2012,2456124,513,5,0.385,1.31,0.103,12.771,6.83,55.32,40.31,4.37,Sandy Loam,44.68,1.258,0.08921513269339,2066.1382806002,722.549443764988,1343.58883683521,128.64146130438,9.65575749404837,16.412,-0.0336061026122,18.24972485638,0.009925161175,0.00038620900975,0.01756453041864,0.00068395928527,0.01333219036136,-4.49981151301813,-6.5347138752461,-3.96426606380401,-6.34765435869452,-4.2263028409571,9.999999310821295E-4,88.88999938964844,20.479999542236328,9.091999053955078,940.0,940,1,636.0,2.0792504925657846,127.0,193.44642857142856,2.1072099696478683,0.33830715281926216,-0.73331322228528
NTP34,Western MN,-96.425,46.517,0.05,2012/07/15,7,15,2012,2456124,586,4.9,0.454,7.161,0.678,10.556,6.57,66.66,26.67,6.67,Sandy Loam,33.34,0.768,0.70493066255778,1085.41109223482,318.411191055054,766.999901179766,304.184069731222,10.8495843777276,39.484,-0.244357928087,18.30661696406,0.00905965151527,0.00046302536332,0.0192181954168,0.00068978093509,0.01222788670679,-4.58272259983337,-6.48301709409904,-3.87752971355853,-6.34432319666818,-4.3072334157929,0.0,117.50999450683594,19.639999389648438,10.069999694824219,940.0,940,1,687.0,1.6394417066483056,88.0,184.15384615384616,1.9493900066449128,0.24040987895588178,-0.9935433607073486
NTP36,Felton MN,-96.427,47.052,0.05,2012/07/15,7,15,2012,2456124,586,4.9,0.44,5.021,0.431,11.647,7.08,74.89,20.64,4.47,Loamy Sand,25.11,0.961,0.36020151133501,2798.06284097509,768.606066635916,2029.45677433917,269.34246413577,22.398439545052,6.4902,-0.0367014053411,18.1164966774,0.01017225957581,0.00038244203384,0.0175043194994,0.00068909418517,0.01385173612966,-4.4773247254059,-6.53731887285288,-3.96756486855827,-6.3447155818341,-4.19032199733033,0.0,114.82999420166016,19.869998931884766,9.991000175476074,940.0,940,1,644.0,1.9142783450673642,108.0,164.0769230769231,2.037426497940624,0.3041194837817586,-0.7724125854349198
NTP38,Malmberg MN,-96.823,47.732,0.05,2012/07/15,7,15,2012,2456124,526,4.3,0.397,6.93,0.584,11.866,7.46,30.37,44.05,25.58,Loam,69.63,0.875,0.5117599351176,1769.5456902715,530.805101383232,1238.74058888827,296.841201895801,14.5006507549322,37.935,-0.20904209743,18.22932442066,0.00945185720009,0.0004746116418,0.01948164016917,0.00069311508323,0.01302787185564,-4.54431577041765,-6.475445808058,-3.86435533814374,-6.34242035724527,-4.2479772584207,0.0,103.57000732421875,19.780000686645508,9.129999160766602,940.0,940,1,587.0,2.2428252902641783,116.0,174.1730769230769,2.0681858617461617,0.3697399034910157,-0.5040228764432384
NTP39,Wallace Dayton MN,-96.493,48.978,0.05,2012/07/15,7,15,2012,2456124,503,3.7,0.349,5.259,0.47,11.188,6.22,78.35,14.44,7.22,Loamy Sand,21.65,1.097,0.50204081632653,1704.10316394705,444.004655451735,1260.09850849531,542.139198985442,10.9928582460011,25.016,-0.166696186719,18.31172033844,0.00945650986034,0.00046483497236,0.01906534486863,0.00070548625032,0.01234619651218,-4.54386871667183,-6.48183079639729,-3.88525051399475,-6.33539134341293,-4.29825186780081,0.0,110.36000061035156,18.53000259399414,9.53499984741211,940.0,940,1,726.0,1.5174903476949462,109.0,237.94736842105263,2.041392685158225,0.20884169771456793,-1.215533626727012
NTP4,White Oak OK,-95.273,36.62,0.05,2012/07/15,7,15,2012,2456124,1148,14.9,0.865,2.761,0.222,12.45,6.14,29.99,51.32,18.69,Silt Loam,70.01,1.056,0.36243538196439,1785.77547673541,456.731971522648,1329.04350521276,124.491556323223,16.4258657425989,-20.255,0.107413044468,17.80261248498,0.01019522546438,0.00034619394194,0.01692665025162,0.00072589052342,0.01432442578803,-4.47525964461972,-6.56273772678303,-3.99975827151301,-6.32390459859299,-4.15864280188058,0.0,115.34000396728516,26.92999839782715,8.103999137878418,940.0,940,1,772.0,1.188161048157538,77.0,127.0,1.8920946026904804,0.10997016267736551,-1.517789658640256
NTP5,Welda KS,-95.27,38.182,0.05,2012/07/15,7,15,2012,2456124,1016,13.6,0.848,3.873,0.297,13.033,5.815,31.09,54.09,14.82,Silt Loam,68.91,1.058,0.43486590038314,1220.05376024736,440.170649336543,779.883110910822,189.668470609572,19.5210341242734,-20.467,0.142732986363,17.78581941156,0.01047563389477,0.00034094222221,0.01624782470631,0.00075661447406,0.0143557469992,-4.450375933716,-6.56647450059766,-4.03891208079564,-6.3068526047855,-4.15657766213984,0.0,103.58000183105469,26.25,8.99899959564209,940.0,940,1,828.0,0.8411789679670071,69.0,157.16666666666669,1.845098040014257,-0.026327786338694512,-1.9904168763113508
NTP6,Rockefeller KS,-95.205,39.045,0.05,2012/07/15,7,15,2012,2456124,1010,13.6,0.837,4.454,0.338,13.161,6.53,24.45,55.88,19.66,Silt Loam,75.55,1.064,0.50946643717728,2174.47582646713,689.388145986548,1485.08768048058,221.341789917766,25.2026831209377,-8.6816,0.0472452206271,18.07401040834,0.01006429478501,0.00038472522216,0.01714961032553,0.00074165660698,0.01427172913263,-4.48708912456738,-6.53573915949726,-3.98721414298906,-6.31511813477174,-4.16212666994126,0.0,133.74000549316406,25.989999771118164,9.45300006866455,940.0,940,1,773.0,1.22895657073671,92.0,171.60526315789474,1.968482948553935,0.12351078876998603,-1.5250205706215172
NTP7,Fricke Cemetery NE,-95.54,40.152,0.05,2012/07/15,7,15,2012,2456124,822,11.4,0.759,2.971,0.257,11.575,6.52,24.33,58.81,16.85,Silt Loam,75.67,1.14,0.33879423328965,1450.88457271122,454.96340128203,995.921171429192,255.84405028497,15.3776197687535,-3.8747,0.0479996536062,17.99473460482,0.01032209358887,0.00035489833641,0.01728666212666,0.00075213542173,0.01474633719233,-4.46392623887187,-6.55657476083746,-3.97957794679734,-6.30932054097134,-4.13116558537398,0.0,127.54998779296875,24.65999984741211,10.303000450134277,940.0,940,1,797.0,1.0505548204779755,75.0,109.38095238095238,1.8808135922807914,0.06090731632398058,-1.7097858862683823
NTP8,Wolters NE,-96.177,40.255,0.05,2012/07/15,7,15,2012,2456124,823,10.8,0.732,2.766,0.222,12.475,5.93,27.82,53.02,19.16,Silt Loam,72.18,1.217,0.32727272727273,2321.21284222206,704.269965563429,1616.94287665864,89.0734152286777,17.4307962129516,-25.224,0.123622471226,17.85307763692,0.01049622444633,0.00035277417457,0.01630001914018,0.00078441035635,0.01502559787787,-4.44857233315563,-6.55807523965366,-4.03584851323183,-6.2916714161321,-4.11337262162229,0.0,135.6999969482422,24.60999870300293,10.675999641418457,940.0,940,1,810.0,0.9680596155163921,74.0,122.65789473684211,1.8750612633917,0.0285954942348837,-1.82060159385734
NTP9,Wildcat Creek NE,-96.527,40.163,0.05,2012/07/15,7,15,2012,2456124,816,11.1,0.722,2.873,0.218,13.192,7.55,32.32,47.41,20.27,Loam,67.68,1.145,0.2855185015989,1252.2085366511,354.733671869406,897.474864781689,334.818163982395,13.1156773323265,-16.127,0.103705396049,17.91352117316,0.01050220468898,0.00035041614563,0.01659110094162,0.00072108930744,0.01461589069193,-4.44804909711638,-6.55974355264954,-4.01892753522657,-6.32659567592984,-4.13958314323145,0.0,121.43998718261719,24.470001220703125,10.45199966430664,940.0,940,1,814.0,0.9466538158678026,75.0,150.57142857142856,1.8808135922807914,0.019803061125562273,-1.8565440230892194
